City,State,Agency,tech_type,Vendor,date,year
Miami,FL,U.S. Customs and Border Protection - Miami International Airport,Face Recognition,,3/11/2019,2019.0
San Jose,CA,U.S. Customs and Border Protection - San Jose International Airport,Face Recognition,,3/11/2019,2019.0
Los Angeles,CA,U.S. Customs and Border Protection - Los Angeles International Airport,Face Recognition,,3/11/2019,2019.0
Orlando,FL,U.S. Customs and Border Protection - Orlando International Airport,Face Recognition,,3/11/2019,2019.0
Detroit,MI,U.S. Customs and Border Protection - Detroit Metro Airport,Face Recognition,,3/11/2019,2019.0
San Francisco,CA,U.S. Customs and Border Protection - San Francisco International Airport,Face Recognition,,3/11/2019,2019.0
Atlanta,GA,Georgia Department of Community Supervision,Body-worn Cameras,Axon,08/09/2016,2016.0
Salinas,CA,Salinas Police Department,Body-worn Cameras,Axon,12/01/14,2014.0
Santa Monica,CA,Santa Monica Police Department,Body-worn Cameras,Axon,01/03/2019,2019.0
Fort Lauderdale,FL,Broward County Sheriff's Office,Body-worn Cameras,,,
St. Charles,MO,St. Charles Police Department,Body-worn Cameras,,05/22/2019,2019.0
Dalton,GA,Whitfield County Sheriff's Office,Body-worn Cameras,Axon,04/20/2019,2019.0
Ogden,UT,Ogden Police Department,Body-worn Cameras,,05/2016,2016.0
Fairfield,OH,Fairfield Police Department,Body-worn Cameras,,07/27/2018,2018.0
Harrisonburg,VA,Harrisonburg Police Department,Body-worn Cameras,Axon,10/28/2015,2015.0
Concord,NC,Concord Police Department,Body-worn Cameras,Axon,02/08/2015,2015.0
Dallas,TX,Dallas Police Department,Body-worn Cameras,Axon,05/09/2018,2018.0
Denton,TX,Denton Police Department,Body-worn Cameras,Axon,03/14/2020,2020.0
Thibodaux,LA,Thibodaux Police Department,Body-worn Cameras,,05/17/2017,2017.0
Michigan City,IN,Michigan City Police Department,Body-worn Cameras,Axon,06/20/17,2017.0
Lindenwold,NJ,Lindenwold Police Department,Body-worn Cameras,Axon,2020,2020.0
Nashville,NC,Nash County Sheriff's Office,Body-worn Cameras,,03/10/2016,2016.0
San Marcos,TX,Hays County Sheriff's Office,Body-worn Cameras,Axon,12/21/2022,2022.0
Vestal,NY,Vestal Police Department,Body-worn Cameras,Axon,5/11/2018,2018.0
Pleasant Hill,CA,Pleasant Hill Police Department,Body-worn Cameras,,11/20/2017,2017.0
Columbus,OH,Ohio State University Police Department,Body-worn Cameras,Axon,01/31/2017,2017.0
Natchez,MS,Natchez Police Department,Body-worn Cameras,,10/9/2017,2017.0
Manteca,CA,Manteca Police Department,Body-worn Cameras,,03/11/2014,2014.0
Moultrie,GA,Moultrie Police Department,Body-worn Cameras,,01/11/2018,2018.0
Steamboat Springs,CO,Steamboat Springs Police Department,Body-worn Cameras,Axon,,
Mitchell,SD,Mitchell Police Department,Body-worn Cameras,,08/11/2018,2018.0
Racine,WI,Racine County Sheriff's Office,Body-worn Cameras,Axon,10/03/2019,2019.0
Longview,TX,Gregg County Sheriff's Office,Body-worn Cameras,WatchGuard,08/29/2019,2019.0
Medford,NJ,Medford Township Police Department,Body-worn Cameras,Axon,2020,2020.0
Americus,GA,Americus Police Department,Body-worn Cameras,,01/2020,2020.0
Spokane,WA,Spokane Police Department,Body-worn Cameras,Axon,12/17/2019,2019.0
Ypsilanti,MI,Ypsilanti Police Department,Body-worn Cameras,L-3,12/03/2014,2014.0
Lumberton,NJ,Lumberton Township Police Department,Body-worn Cameras,Axon,2020,2020.0
Lewiston,NY,Lewiston Police Department,Body-worn Cameras,Axon,07/03/2017,2017.0
Brunswick,GA,Glynn County Police Department,Body-worn Cameras,,,
Goddard,KS,Goddard Police Department,Body-worn Cameras,WatchGuard,03/05/2018,2018.0
Elkhorn,WI,Walworth County Sheriff's Office,Body-worn Cameras,Axon,12/31/2018,2018.0
Friendswood,TX,Friendswood Police Department,Body-worn Cameras,L-3,05/18/16,2016.0
Union,NJ,Union Township Police Department,Body-worn Cameras,Axon,2020,2020.0
Towson,MD,Baltimore County Police Department,Body-worn Cameras,Axon,02/07/2020,2020.0
Phoenix,AZ,Arizona Department of Public Safety,Automated License Plate Readers,Vigilant Solutions,07/08/2019,2019.0
Chandler,AZ,Chandler Police Department,Automated License Plate Readers,"PIPS, Vigilant Solutions",07/08/2019,2019.0
Tempe,AZ,Tempe Police Department,Automated License Plate Readers,Vigilant Solutions,07/08/2019,2019.0
Phoenix,AZ,Phoenix Police Department,Automated License Plate Readers,Vigilant Solutions,07/08/2019,2019.0
Glendale,AZ,Glendale Police Department,Automated License Plate Readers,Vigilant Solutions,07/08/2019,2019.0
Mesa,AZ,Mesa Police Department,Automated License Plate Readers,Vigilant Solutions,07/08/2019,2019.0
Paradise Valley,AZ,Paradise Valley Police Department,Automated License Plate Readers,Vigilant Solutions,07/08/2019,2019.0
Scottsdale,AZ,Scottsdale Police Department,Automated License Plate Readers,Vigilant Solutions,07/08/2019,2019.0
San Francisco,CA,San Francisco District Attorney's Office,Camera Registry,,,
Alameda,CA,Alameda Police Department,Body-worn Cameras,Axon,2/26/20,2020.0
Albany,CA,Albany Police Department,Body-worn Cameras,Axon,12/21/23,2023.0
Berkeley,CA,Berkeley Police Department,Body-worn Cameras,Axon,1/31/19,2019.0
Emeryville,CA,Emeryville Police Department,Body-worn Cameras,Axon,12/16/2015,2015.0
Fremont,CA,Fremont Police Department,Body-worn Cameras,WatchGuard,11/15/18,2018.0
Hayward,CA,Hayward Police Department,Body-worn Cameras,Axon,1/28/2016,2016.0
Livermore,CA,Livermore Police Department,Body-worn Cameras,Axon,4/23/2015,2015.0
Newark,CA,Newark Police Department,Body-worn Cameras,VieVu,5/30/2018,2018.0
Oakland,CA,Oakland Police Department,Body-worn Cameras,Axon,10/22/18,2018.0
Piedmont,CA,Piedmont Police Department,Body-worn Cameras,Axon,10/22/2019,2019.0
Pleasanton,CA,Pleasanton Police Department,Body-worn Cameras,Axon,07/22/2015,2015.0
San Leandro,CA,San Leandro Police Department,Body-worn Cameras,Axon,,
Union City,CA,Union City Police Department,Body-worn Cameras,CopVu/Vievu,,
Brentwood,CA,Brentwood Police Department,Body-worn Cameras,Axon,,
Concord,CA,Concord Police Department,Body-worn Cameras,Axon,,
Danville,CA,Danville Police Department,Body-worn Cameras,Axon,2020,2020.0
Castro Valley,CA,East Bay Regional Park District PD,Body-worn Cameras,Axon,,
El Cerrito,CA,El Cerrito Police Department,Body-worn Cameras,Axon,,
Hercules,CA,Hercules Police Department,Body-worn Cameras,Axon,,
Kensington,CA,Kensington Police Department,Body-worn Cameras,Axon,,
Lafayette,CA,Lafayette Police Department,Body-worn Cameras,,,
Moraga,CA,Moraga Police Department,Body-worn Cameras,VieVu,3/25/2015,2015.0
Oakley,CA,Oakley Police Department,Body-worn Cameras,,2/2/2017,2017.0
